 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
24 36 221.8176 6.2812 313.47054907 67.498426994 -7.1245 0.9756 707.6403 635.722 1.171 3.65 369.3685 313.4705491 67.498427 9.75472354888916 9.555953025817871 9.256734848022461 0.19877052307128906 0.4979887008666992 0.29921817779541016
25 38 445.1933 4.7317 316.17442553 61.205827389 -7.5593 0.6115 1056.141 594.6635 1.195 2.84 341.8127 316.1744255 61.2058274 9.867829322814941 9.665316581726074 9.365311622619629 0.2025127410888672 0.5025177001953125 0.3000049591064453
26 39 241.3838 6.1543 313.73181106 66.940530435 -7.8584 0.4937 1391.16 632.4023 2.338 0.95 365.825 313.7318111 66.9405304 9.363119125366211 8.584848403930664 7.759930610656738 0.7782707214355469 1.6031885147094727 0.8249177932739258
27 40 163.6117 4.0634 312.32837916 69.127984583 -7.5253 0.6567 1023.6139999999999 618.9454 1.469 4.76 372.2433 312.3283792 69.12798459999999 8.139374732971191 7.81674861907959 7.380547046661377 0.32262611389160156 0.7588276863098145 0.4362015724182129
28 41 162.0631 1.9727 312.07738814 69.13904288100001 -7.6701 0.482 1169.563 519.0649 0.716 1.15 372.2606 312.0773881 69.1390429 8.139374732971191 7.81674861907959 7.380547046661377 0.32262611389160156 0.7588276863098145 0.4362015724182129
29 42 64.9679 5.9651 310.31193386 71.84998632 -6.8312 1.2716 540.1127 632.4023 0.6629999999999999 2.23 363.2825 310.3119339 71.8499863 8.68659496307373 8.505125045776367 8.224344253540039 0.18146991729736328 0.4622507095336914 0.2807807922363281
30 44 33.8148 5.9976 309.54798752 72.713300285 -6.7382 1.3998 495.77099999999996 639.0245 0.7559999999999999 0.96 357.1723 309.5479875 72.7133003 9.004685401916504 8.769481658935547 8.426980018615723 0.23520374298095703 0.5777053833007812 0.3425016403198242
31 45 6.6702 5.4165 308.80203664 73.419512436 -7.8744 0.4787 1411.7379999999998 622.3369 1.52 4.64 348.4465 308.80203660000006 73.4195124 9.393876075744629 9.067803382873535 8.614533424377441 0.32607269287109375 0.7793426513671875 0.45326995849609375
32 47 296.0351 4.6721 314.42696673 65.387829558 -7.1752 0.8813 741.4631 601.7012 1.113 1.51 363.1229 314.4269667 65.3878296 9.743132591247559 8.731139183044434 7.774903774261475 1.011993408203125 1.968228816986084 0.956235408782959
33 48 280.4404 2.991 314.09753063 65.831258794 -7.8863 0.4275 1427.364 561.9042 0.914 3.32 363.9319 314.0975306 65.8312588 7.853837013244629 7.019243240356445 6.161869525909424 0.8345937728881836 1.691967487335205 0.8573737144470215
34 49 99.0609 4.9404 311.00527093 70.899582354 -6.1999 2.1639 301.9753 601.7012 0.41100000000000003 1.09 365.94599999999997 311.00527089999997 70.8995824 9.271672248840332 8.166252136230469 7.165215492248535 1.1054201126098633 2.106456756591797 1.0010366439819336
